dbeaver,4527532,3.7,29,252,20:49:29,0
dbeaver,5300369,3.8,29,90,16:42:05,0
dbeaver,5508684,4.0,29,21,2:59:25,0
dbeaver,6829412,4.1,29,125,10:34:51,0
dbeaver,7619562,4.2,29,69,22:53:57,0
dbeaver,8820552,4.3,115,95,0:52:30,86
dbeaver,9945104,5.0,109,87,20:30:38,-6
dbeaver,11302723,5.1,105,90,12:45:48,-4
dbeaver,12866835,5.2,105,100,12:16:23,0
dbeaver,14431061,5.3,266,88,2:51:36,161
guava,4984232,21.0,101246,53,23:12:26,0
guava,6480439,22.0,206722,152,21:54:21,105476
guava,7309346,23.0,208394,76,0:57:34,1672
guava,7917024,23.1,210627,51,1:33:50,2233
guava,8087889,23.2,211233,14,2:21:43,606
guava,8278584,23.3,211692,14,21:09:56,459
guava,8455470,23.4,211896,13,21:48:44,204
guava,8626737,23.5,212166,13,2:35:31,270
guava,8998652,23.6,217736,28,20:21:22,5570
guava,9495947,24.0,218399,42,3:25:47,663
guava,10109929,24.1,220274,41,21:52:13,1875
guava,10724561,25.0,220281,41,4:09:29,7
guava,11262252,25.1,220295,35,15:37:12,14
guava,12214271,26.0,220697,62,8:30:53,402
guava,13517352,27.0,221591,77,19:49:15,894
guice,581017,4.0,27772,78,8:52:35,0
guice,3471198,4.1,30596,631,23:02:01,2824
xxl-job,3266835,1.3,96,124,8:02:47,0
xxl-job,3731452,1.4,90,66,10:27:02,-6
xxl-job,4645058,1.5,89,110,18:57:57,-1
xxl-job,5720232,1.6,39,120,0:39:35,-50
xxl-job,6249809,1.7,39,50,2:48:25,0
xxl-job,7061976,1.8,80,75,23:58:26,41
xxl-job,9058320,1.9,352,165,2:18:37,272
pinpoint,1508970,1.1,17276,51,1:52:27,0
pinpoint,2168780,1.5,19303,140,21:17:49,2027
pinpoint,4649379,1.6,27260,354,4:15:53,7957
pinpoint,8556207,1.7,39462,371,20:52:45,12202
HanLP,1270360,1.2,633,41,6:07:41,0
HanLP,4221295,1.3,695,506,1:47:34,62
HanLP,8353918,1.4,911,403,15:35:15,216
HanLP,8366829,1.5,920,1,0,9
HanLP,10114330,1.6,1239,133,1:42:26,319
redisson,14715022,3.1,32862,517,1:01:05,0
redisson,7725224,3.5,21888,46,3:25:47,-10974
redisson,9426108,3.6,22758,138,18:56:22,870
redisson,10981733,3.7,24200,104,21:39:54,1442
redisson,12718655,3.8,27451,113,4:32:57,3251
auto,4404155,0.8,11652,38,22:13:21,0
auto,8814971,0.9,12941,416,9:31:02,1289
auto,4410508,1.4,11652,123,17:49:45,-1289
auto,7399931,1.5,12223,301,22:18:32,571
spring-boot,12180115,2.1,594,46,12:03:28,0
webmagic,38265,0.3,1857,14,11:10:54,0
webmagic,86780,0.4,1894,63,20:52:24,37
webmagic,290763,0.5,2296,171,5:15:51,402
webmagic,4822837,0.6,2491,965,22:49:34,195
incubator-shardingsphere,3164983,1.2,8685,38,11:12:54,0
incubator-shardingsphere,3339525,1.3,9497,25,21:54:26,812
incubator-shardingsphere,4715467,1.4,11578,173,22:27:21,2081
incubator-shardingsphere,6722955,1.5,12707,205,23:56:30,1129
incubator-shardingsphere,8059801,2.0,12717,116,23:37:15,10
incubator-druid,980529,0.7,37785,259,21:12:26,0
incubator-druid,1541978,0.8,53472,140,23:59:37,15687
proxyee-down,8916533,1.2,0,1,20:02:05,0
proxyee-down,8931506,1.3,0,1,6:52:33,0
proxyee-down,9021212,1.4,0,7,23:59:44,0
proxyee-down,9040145,1.5,0,3,4:38:35,0
proxyee-down,9092297,1.6,0,6,22:01:43,0
proxyee-down,9265357,2.0,0,13,19:45:00,0
proxyee-down,9343709,2.1,0,5,23:35:50,0
proxyee-down,9566774,2.2,0,14,22:55:20,0
proxyee-down,9906100,2.3,0,22,21:22:58,0
proxyee-down,10223960,2.4,0,21,1:53:23,0
proxyee-down,10597720,2.5,0,26,0:09:10,0
proxyee-down,12670898,3.0,0,135,3:00:45,0
proxyee-down,13162902,3.1,0,28,23:59:27,0
proxyee-down,13390029,3.2,0,12,22:53:47,0
proxyee-down,13772662,3.3,0,20,0:36:51,0
